state,weight,population,employment,weight_source_year
AL,1,5193088,,2025
AK,1,737270,,2025
AZ,1,7623818,,2025
AR,1,3114791,,2025
CA,1,39355309,,2025
CO,1,6012561,,2025
CT,1,3688496,,2025
DE,1,1059952,,2025
DC,1,693645,,2025
FL,1,23462518,,2025
GA,1,11302748,,2025
HI,1,1432820,,2025
ID,1,2029733,,2025
IL,1,12719141,,2025
IN,1,6973333,,2025
IA,1,3238387,,2025
KS,1,2977220,,2025
KY,1,4606864,,2025
LA,1,4618189,,2025
ME,1,1414874,,2025
MD,1,6265347,,2025
MA,1,7154084,,2025
MI,1,10127884,,2025
MN,1,5830405,,2025
MS,1,2954160,,2025
MO,1,6270541,,2025
MT,1,1144694,,2025
NE,1,2018006,,2025
NV,1,3282188,,2025
NH,1,1415342,,2025
NJ,1,9548215,,2025
NM,1,2125498,,2025
NY,1,20002427,,2025
NC,1,11197968,,2025
ND,1,799358,,2025
OH,1,11900510,,2025
OK,1,4123288,,2025
OR,1,4273586,,2025
PA,1,13059432,,2025
RI,1,1114521,,2025
SC,1,5570274,,2025
SD,1,935094,,2025
TN,1,7315076,,2025
TX,1,31709821,,2025
UT,1,3538904,,2025
VT,1,644663,,2025
VA,1,8880107,,2025
WA,1,8001020,,2025
WV,1,1766147,,2025
WI,1,5972787,,2025
WY,1,588753,,2025
