scenario,domain,coverage,mean_strength,strength_variance,binary_heterogeneity,states_covered,analysis_date
current,antidiscrimination,0.17281749553930648,0.4789751758955196,1.1285536871176152,0.28590321754965653,6,2027-01-01
current,child_safety,0.34868007625042324,0.8949805374203574,1.5818320672380155,0.4542045613528446,10,2027-01-01
current,consumer_notice,0.4103124410804426,0.4337219627024026,0.2924262650158982,0.48391228355010185,14,2027-01-01
current,developer_documentation,0.21748285647424104,0.21748285647424104,0.1701840636140457,0.3403681272280914,7,2027-01-01
current,explanation_appeal,0.13821935651174855,0.4146580695352457,1.0720328939750403,0.2382295319944534,4,2027-01-01
current,frontier_safety,0.17366988263028868,0.521009647890866,1.291577890477234,0.2870173089949409,2,2027-01-01
current,government_use,0.10238022043205969,0.30714066129617906,0.8270865980670828,0.18379702179268512,2,2027-01-01
current,harmful_use_restriction,0.27008115810116184,0.6540958600749243,1.2221509576004952,0.39427465227979414,8,2027-01-01
current,health_restriction,0.290663453822941,0.871990361468823,1.8556038939119401,0.4123564208693201,6,2027-01-01
current,human_oversight,0.10953117504559308,0.24625708622310322,0.5134558283268645,0.19506819347744947,7,2027-01-01
current,impact_assessment,0.10356900335113442,0.20713800670226884,0.3713698595839485,0.18568492979197426,2,2027-01-01
current,incident_reporting,0.26644702108613316,0.26644702108613316,0.19545300604045887,0.39090601208091774,3,2027-01-01
current,infrastructure,0.0,0.0,0.0,0.0,0,2027-01-01
current,model_evaluation,0.1799860284623435,0.359972056924687,0.590364232082784,0.29518211604139194,4,2027-01-01
current,public_transparency,0.2294883093664972,0.2294883093664972,0.17682342523060401,0.35364685046120814,6,2027-01-01
current,risk_management,0.2199362682706566,0.4398725365413132,0.6862572246793374,0.34312861233966874,9,2027-01-01
current,synthetic_content,0.11514643845089954,0.3454393153526986,0.9169896254667547,0.20377547232594548,1,2027-01-01
current,whistleblower_protection,0.1259383033461895,0.3778149100385685,0.9907006238682535,0.2201556941929453,2,2027-01-01
broad_ceiling,antidiscrimination,0.0,0.0,0.0,0.0,0,2027-01-01
broad_ceiling,child_safety,0.0,0.0,0.0,0.0,0,2027-01-01
