state,active_domains,mean_strength,max_strength,population,analysis_date
TX,12,1.5,3,31709821,2026-08-25
CA,9,1.0555555555555556,3,39355309,2026-08-25
UT,7,0.7222222222222222,3,3538904,2026-08-25
MD,5,0.5555555555555556,3,6265347,2026-08-25
CT,5,0.5555555555555556,3,3688496,2026-08-25
MT,5,0.6111111111111112,3,1144694,2026-08-25
IL,4,0.5,3,12719141,2026-08-25
NV,4,0.6666666666666666,3,3282188,2026-08-25
AR,4,0.3333333333333333,2,3114791,2026-08-25
HI,4,0.5,3,1432820,2026-08-25
NY,2,0.16666666666666666,2,20002427,2026-08-25
MN,2,0.2222222222222222,3,5830405,2026-08-25
AZ,1,0.1111111111111111,2,7623818,2026-08-25
NH,1,0.16666666666666666,3,1415342,2026-08-25
ME,1,0.05555555555555555,1,1414874,2026-08-25
FL,0,0.0,0,23462518,2026-08-25
PA,0,0.0,0,13059432,2026-08-25
OH,0,0.0,0,11900510,2026-08-25
GA,0,0.0,0,11302748,2026-08-25
NC,0,0.0,0,11197968,2026-08-25
MI,0,0.0,0,10127884,2026-08-25
NJ,0,0.0,0,9548215,2026-08-25
VA,0,0.0,0,8880107,2026-08-25
WA,0,0.0,0,8001020,2026-08-25
TN,0,0.0,0,7315076,2026-08-25
MA,0,0.0,0,7154084,2026-08-25
IN,0,0.0,0,6973333,2026-08-25
MO,0,0.0,0,6270541,2026-08-25
CO,0,0.0,0,6012561,2026-08-25
WI,0,0.0,0,5972787,2026-08-25
SC,0,0.0,0,5570274,2026-08-25
AL,0,0.0,0,5193088,2026-08-25
LA,0,0.0,0,4618189,2026-08-25
KY,0,0.0,0,4606864,2026-08-25
OR,0,0.0,0,4273586,2026-08-25
OK,0,0.0,0,4123288,2026-08-25
IA,0,0.0,0,3238387,2026-08-25
KS,0,0.0,0,2977220,2026-08-25
MS,0,0.0,0,2954160,2026-08-25
NM,0,0.0,0,2125498,2026-08-25
ID,0,0.0,0,2029733,2026-08-25
NE,0,0.0,0,2018006,2026-08-25
WV,0,0.0,0,1766147,2026-08-25
RI,0,0.0,0,1114521,2026-08-25
DE,0,0.0,0,1059952,2026-08-25
SD,0,0.0,0,935094,2026-08-25
ND,0,0.0,0,799358,2026-08-25
AK,0,0.0,0,737270,2026-08-25
DC,0,0.0,0,693645,2026-08-25
VT,0,0.0,0,644663,2026-08-25
WY,0,0.0,0,588753,2026-08-25
TX,12,1.5,3,31709821,2027-01-01
CA,9,1.0555555555555556,3,39355309,2027-01-01
CT,9,1.0,3,3688496,2027-01-01
NY,8,0.7777777777777778,3,20002427,2027-01-01
CO,7,0.8888888888888888,3,6012561,2027-01-01
UT,7,0.7222222222222222,3,3538904,2027-01-01
MD,5,0.5555555555555556,3,6265347,2027-01-01
MT,5,0.6111111111111112,3,1144694,2027-01-01
IL,4,0.5,3,12719141,2027-01-01
WA,4,0.3888888888888889,2,8001020,2027-01-01
OR,4,0.3333333333333333,2,4273586,2027-01-01
NV,4,0.6666666666666666,3,3282188,2027-01-01
AR,4,0.3333333333333333,2,3114791,2027-01-01
HI,4,0.5,3,1432820,2027-01-01
MN,2,0.2222222222222222,3,5830405,2027-01-01
RI,2,0.2222222222222222,3,1114521,2027-01-01
AZ,1,0.1111111111111111,2,7623818,2027-01-01
NH,1,0.16666666666666666,3,1415342,2027-01-01
ME,1,0.05555555555555555,1,1414874,2027-01-01
FL,0,0.0,0,23462518,2027-01-01
PA,0,0.0,0,13059432,2027-01-01
OH,0,0.0,0,11900510,2027-01-01
GA,0,0.0,0,11302748,2027-01-01
NC,0,0.0,0,11197968,2027-01-01
MI,0,0.0,0,10127884,2027-01-01
NJ,0,0.0,0,9548215,2027-01-01
VA,0,0.0,0,8880107,2027-01-01
TN,0,0.0,0,7315076,2027-01-01
MA,0,0.0,0,7154084,2027-01-01
IN,0,0.0,0,6973333,2027-01-01
MO,0,0.0,0,6270541,2027-01-01
WI,0,0.0,0,5972787,2027-01-01
SC,0,0.0,0,5570274,2027-01-01
AL,0,0.0,0,5193088,2027-01-01
LA,0,0.0,0,4618189,2027-01-01
KY,0,0.0,0,4606864,2027-01-01
OK,0,0.0,0,4123288,2027-01-01
IA,0,0.0,0,3238387,2027-01-01
KS,0,0.0,0,2977220,2027-01-01
MS,0,0.0,0,2954160,2027-01-01
NM,0,0.0,0,2125498,2027-01-01
ID,0,0.0,0,2029733,2027-01-01
NE,0,0.0,0,2018006,2027-01-01
WV,0,0.0,0,1766147,2027-01-01
DE,0,0.0,0,1059952,2027-01-01
SD,0,0.0,0,935094,2027-01-01
ND,0,0.0,0,799358,2027-01-01
AK,0,0.0,0,737270,2027-01-01
DC,0,0.0,0,693645,2027-01-01
VT,0,0.0,0,644663,2027-01-01
WY,0,0.0,0,588753,2027-01-01
